apk,lang,source,version,extension_class_refs,i18n_files,detected_multisrc
tachiyomi-all.ahottie-v1.4.2.apk,all,ahottie,1.4.2,8,,
tachiyomi-all.akuma-v1.4.7.apk,all,akuma,1.4.7,21,,
tachiyomi-all.asmhentai-v1.4.8.apk,all,asmhentai,1.4.8,6,,
tachiyomi-all.baobua-v1.4.3.apk,all,baobua,1.4.3,10,,
tachiyomi-all.beauty3600000-v1.4.2.apk,all,beauty3600000,1.4.2,10,,
tachiyomi-all.buondua-v1.4.6.apk,all,buondua,1.4.6,6,,
tachiyomi-all.comicfury-v1.4.6.apk,all,comicfury,1.4.6,16,,
tachiyomi-all.comicgrowl-v1.4.10.apk,all,comicgrowl,1.4.10,4,,
tachiyomi-all.comicklive-v1.4.3.apk,all,comicklive,1.4.3,87,,
tachiyomi-all.comicskingdom-v1.4.2.apk,all,comicskingdom,1.4.2,33,,
tachiyomi-all.comicsvalley-v1.4.47.apk,all,comicsvalley,1.4.47,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-all.comikey-v1.4.3.apk,all,comikey,1.4.3,71,assets/i18n/messages_en.properties;assets/i18n/messages_pt_br.properties,
tachiyomi-all.commitstrip-v1.4.3.apk,all,commitstrip,1.4.3,11,,
tachiyomi-all.coomer-v1.4.23.apk,all,coomer,1.4.23,4,,
tachiyomi-all.coronaex-v1.4.1.apk,all,coronaex,1.4.1,60,,
tachiyomi-all.cosplaytele-v1.4.4.apk,all,cosplaytele,1.4.4,12,,
tachiyomi-all.cubari-v1.4.26.apk,all,cubari,1.4.26,41,,
tachiyomi-all.danbooru-v1.4.3.apk,all,danbooru,1.4.3,22,,
tachiyomi-all.deviantart-v1.4.9.apk,all,deviantart,1.4.9,11,,
tachiyomi-all.dragonballmultiverse-v1.4.6.apk,all,dragonballmultiverse,1.4.6,42,,
tachiyomi-all.ehentai-v1.4.27.apk,all,ehentai,1.4.27,67,,
tachiyomi-all.elitebabes-v1.4.1.apk,all,elitebabes,1.4.1,4,,
tachiyomi-all.everiaclub-v1.4.9.apk,all,everiaclub,1.4.9,9,,
tachiyomi-all.everiaclubcom-v1.4.1.apk,all,everiaclubcom,1.4.1,8,,
tachiyomi-all.femjoyhunter-v1.4.1.apk,all,femjoyhunter,1.4.1,4,,
tachiyomi-all.foamgirl-v1.4.3.apk,all,foamgirl,1.4.3,6,,
tachiyomi-all.foolslidecustomizable-v1.4.4.apk,all,foolslidecustomizable,1.4.4,7,,foolslide
tachiyomi-all.ftvhunter-v1.4.1.apk,all,ftvhunter,1.4.1,4,,
tachiyomi-all.globalcomix-v1.4.2.apk,all,globalcomix,1.4.2,91,assets/i18n/messages_en.properties,
tachiyomi-all.grabberzone-v1.4.45.apk,all,grabberzone,1.4.45,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-all.hdoujin-v1.4.1.apk,all,hdoujin,1.4.1,65,,
tachiyomi-all.hennojin-v1.4.2.apk,all,hennojin,1.4.2,10,,
tachiyomi-all.hentai3-v1.4.2.apk,all,hentai3,1.4.2,11,,
tachiyomi-all.hentaicosplay-v1.4.7.apk,all,hentaicosplay,1.4.7,10,,
tachiyomi-all.hentaiera-v1.4.7.apk,all,hentaiera,1.4.7,6,,
tachiyomi-all.hentaifox-v1.4.13.apk,all,hentaifox,1.4.13,9,,
tachiyomi-all.hentaihand-v1.4.9.apk,all,hentaihand,1.4.9,40,,
tachiyomi-all.hitomi-v1.4.41.apk,all,hitomi,1.4.41,73,,
